id,token
D,D
i,i
g,ğ
@,ə
r,r
"
","
"
s,s
c,ç
t,t
f,f
n,n
d,d
l,l
k,k
a,a
e,e
m,m
x,x
.,.
G,G
u,ü
b,b
",",","
T,T
y,y
z,z
o,o
q,q
Y,Y
Z,Z
h,h
Q,Q
v,v
A,A
p,p
B,B
2,2
0,0
-,-
3,3
S,S
I,İ
M,M
R,R
8,8
(,(
),)
?,?
F,F
1,1
6,6
U,U
:,:
;,;
X,X
5,5
%,%
O,O
H,H
<<,«
>>,»
!,!
4,4
"""",”
K,K
9,9
E,E
7,7
P,P
N,N
j,j
L,L
No. ,№
C,Ç
V,V
W,W
_,_
SS,§
*,*
[,[
],]
/,/
+,+
',’
...,…
|,|
J,J
<,<
>,›
--,—
w,w
`,`
#,#
,﻿
kh,х
(c),©
 ,​
=,=
+-,±
~,~
Kh,Х
||,‖
&,&
EUR,€
$,$
ae,æ
(tm),™
deg,°
",,",„
(r),®
Ts,Ц
 1/4 ,¼
^,^
ts,ц
{,{
},}
ss,ß
ia,я
'',″
Dj,Ђ
fi,ﬁ
sh,ش
Iu,Ю
S',Ҫ
y',ئ
NG,ŋ
 1/2 ,½
dzh,џ
Dz,Ѕ
