id,token
1,"Hansi"
2,"secimden"
3,"istifade"
4,"olunacagi"
5,"aletin"
6,"sahibi"
7,"terefinden"
8,"mueyyenlesdirilir"
9,"."
10,"O"
11,","
12,"guclu"
13,"atlardan"
14,"zovq"
15,"almaz"
16,","
17,"Quvvetli"
18,"addimlardan"
19,"razi"
20,"qalmaz"
21,"."
22,"13"
23,"."
24,"Orta"
25,"ixtisas"
26,"tehsili"
27,"muessiselerine"
28,"yerlesdirilmis"
29,"butun"
30,"abituriyentler"
31,"senedlerini"
32,"10"
33,"gun"
34,"muddetinde"
35,"muvafiq"
36,"tehsil"
37,"muessisesine"
38,"teqdim"
39,"etmekle"
40,"qeydiyyatdan"
41,"kecmelidirler"
42,"."
43,"*"
44,"Marneuli"
45,"Gencler"
46,"Merkezinde"
47,"("
48,"MGM"
49,")"
50,"“"
51,"Genclerin"
52,"Inteqrasiyasi"
53,"Proqrami"
54,"”"
55,"basa"
56,"catdi"
57,"."
58,"Usaqlarin"
59,"IV"
60,"Umumrespublika"
61,"Forumunun"
62,"istirakcilarina"
63,"etrafli"
64,"."
65,"."
66,"."
67,"Azercell"
68,"yeni"
69,"istifadeye"
70,"verdiyi"
71,"Mobil"
72,"Musteri"
73,"Xidmetleri"
74,"vasitesile"
75,"inden"
76,"bele"
77,"bolgelerde"
78,"yasayan"
79,"abunecilerine"
80,"daha"
81,"rahat"
82,"ve"
83,"keyfiyyetli"
84,"xidmet"
85,"teqdim"
86,"ede"
87,"bilecek"
88,"."
89,"Kas"
90,"senin"
91,"yerine"
92,"men"
93,"oleydim"
94,","
95,"oglum"
96,"!"
97,"Ikinci"
98,"ise"
99,"o"
100,"demekdir"
101,"ki"
102,","
103,"eziyet"
104,"cekib"
105,"seqmentasiya"
106,"edeceksen"
107,"secdiyin"
108,"kutle"
109,"1-2"
110,"ile"
111,"ciddi"
112,"status"
113,"ve"
114,"davranis"
115,"deyisikliyi"
116,"gosterecek"
117,"."
118,"O"
119,","
120,"iki"
121,"min"
122,"bat"
123,"su"
124,"tuturdu"
125,"."
126,"Wikipedia"
127,"onlayn-ensiklopediyasinin"
128,"is"
129,"fealiyyetini"
130,"destekleyen"
131,"Wikimedia"
132,"Foundation"
133,"fondu"
134,"yeni"
135,"Wikivoyage"
136,"layihesini"
137,"istifadeye"
138,"verib"
139,"."
140,"4"
141,"may"
142,"2011-ci"
143,"il"
144,"tarixli"
145,"Azerbaycan"
146,"Respublikasinin"
147,"Prezidenti"
148,"cenab"
149,"Ilham"
150,"Eliyevin"
151,"Serencami"
152,"ile"
153,"tesdiq"
154,"olunmus"
155,"“"
156,"2011-2013-cu"
157,"illerde"
158,"Baki"
159,"seherinin"
160,"ve"
161,"onun"
162,"qesebelerinin"
163,"sosial-iqtisadi"
164,"inkisafina"
165,"dair"
166,"Dovlet"
167,"Proqrami"
168,"”"
169,"cercivesinde"
170,"olkede"
171,"tekrar"
172,"istehsali"
173,"inkisaf"
174,"etdirmek"
175,"ucun"
176,"esas"
177,"vasitelerden"
178,"biri"
179,"olan"
180,"Balaxani"
181,"Eko-Senaye"
182,"Parkinin"
183,"yaradilmasi"
184,"qerara"
185,"alinmisdir"
186,"."
187,"3"
188,"."
189,"Analitik"
190,"tehliller"
191,"ve"
192,"serhler"
193,"."
